core,BogoMIPS,Memory,RPS,p95,p99
4,108.0,8,14,98.5,165.7
4,108.0,8,13,147,257.3
4,108.0,8,13,144,252.2
4,108.0,8,13,159.2,247.2
4,108.0,8,14,117.9,202.4
4,108.0,8,14,147,232.8
4,108.0,8,13,147,237.5
4,108.0,8,13,117.9,179.5
4,108.0,8,13,138.4,262.5
4,108.0,8,14,122.7,194.4
4,108.0,8,14,96.6,172.5
4,108.0,8,14,135.7,202.4
4,108.0,8,13,127.8,194.4
4,108.0,8,14,127.8,190.6
4,108.0,8,13,169,267.8
4,108.0,8,14,175.9,290.1
4,108.0,8,13,90.9,169
4,108.0,8,13,135.7,219.2
4,108.0,8,13,102.5,165.7
4,108.0,8,14,130.3,190.6
4,108.0,8,13,100.5,165.7
4,108.0,8,14,156,252.2
4,108.0,8,13,122.7,214.9
4,108.0,8,13,111.1,172.5
4,108.0,8,14,127.8,172.5
4,108.0,8,14,172.5,301.9
4,108.0,8,13,135.7,198.4
4,108.0,8,13,117.9,179.5
4,108.0,8,13,120.3,198.4
4,108.0,8,13,153,295.9
4,108.0,8,12,149.9,242.3
4,108.0,8,12,144,210.6
4,108.0,8,14,141.2,237.5
4,108.0,8,12,135.7,232.8
4,108.0,8,12,133,214.9
4,108.0,8,12,122.7,206.5
4,108.0,8,12,165.7,247.2
4,108.0,8,13,130.3,210.6
4,108.0,8,13,141.2,232.8
4,108.0,8,13,175.9,262.5
4,108.0,8,14,108.9,206.5
4,108.0,8,13,141.2,210.6
4,108.0,8,13,135.7,214.9
4,108.0,8,13,162.4,232.8
4,108.0,8,13,133,232.8
4,108.0,8,13,122.7,183.1
4,108.0,8,13,144,223.7
4,108.0,8,13,159.2,228.2
4,108.0,8,13,117.9,183.1
4,108.0,8,14,130.3,194.4
4,108.0,8,14,104.6,175.9
4,108.0,8,13,106.7,186.8
4,108.0,8,13,144,228.2
4,108.0,8,13,159.2,247.2
4,108.0,8,13,98.5,175.9
4,108.0,8,14,149.9,237.5
4,108.0,8,13,141.2,237.5
4,108.0,8,13,133,194.4
4,108.0,8,13,144,237.5
